Balanszijde;Instrument;Stroomtype;LooptijdOorspronkelijk;RenteVastPeriode;Periode ;Rente
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2015-10;3.32
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2015-11;3.31
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2015-12;3.21
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2016-01;3.27
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2016-02;3.21
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2016-03;3.08
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2016-04;3.09
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2016-05;3.07
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2016-06;3.04
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2016-07;3.07
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2016-08;3.05
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2016-09;2.98
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2016-10;2.92
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2016-11;2.92
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2016-12;2.87
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2017-01;2.81
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2017-02;2.85
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2017-03;2.88
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2017-04;2.86
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2017-05;2.9
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2017-06;2.94
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2017-07;3
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2017-08;3
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2017-09;3.01
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2017-10;3.03
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2017-11;3
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2017-12;2.96
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2018-01;2.89
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2018-02;2.92
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2018-03;2.89
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2018-04;2.88
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2018-05;2.84
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2018-06;2.86
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2018-07;2.81
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2018-08;2.79
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2018-09;2.79
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2018-10;2.82
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2018-11;2.83
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2018-12;2.8
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2019-01;2.81
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2019-02;2.84
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2019-03;2.87
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2019-04;2.82
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2019-05;2.77
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2019-06;2.75
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2019-07;2.68
Activa ;Woninghypotheken - Totaal ;Nieuwe contracten ;Totaal ;> 10 jaar * ;2019-08;2.63
